,NOOUT,NO2OUT,O3OUT,NO,NO2,O3,H2O,temp,J4
0,50179112488,64771884164,6.84E+11,90934027554,1.97E+11,1.39E+11,4.94E+17,304.9130691,0
900,47764026604,66209497463,6.88E+11,1.21E+11,1.65E+11,1.22E+11,4.91E+17,305.1601673,0
1800,45104328681,67792719462,6.93E+11,1.46E+11,1.41E+11,1.31E+11,5.09E+17,305.1535232,0
2700,42379634729,69414631249,6.98E+11,1.66E+11,1.28E+11,1.12E+11,4.99E+17,305.157335,0
3600,39641266403,71044682895,7.02E+11,1.82E+11,1.20E+11,1.24E+11,4.98E+17,305.1458189,0
4500,36900366739,72676241356,7.07E+11,1.95E+11,1.08E+11,1.11E+11,5.01E+17,304.8532102,0
5400,34159031783,74308058930,7.12E+11,2.05E+11,1.11E+11,1.17E+11,4.94E+17,305.1121557,0
6300,31417625355,75939919048,7.17E+11,2.05E+11,1.20E+11,1.14E+11,5.11E+17,305.2748457,0
7200,28676207553,77571785937,7.21E+11,2.01E+11,1.13E+11,1.13E+11,5.07E+17,305.209105,0
8100,25934787982,79203653880,7.26E+11,2.00E+11,1.19E+11,1.10E+11,5.00E+17,305.3041686,0
9000,23193368141,80835521983,7.31E+11,1.96E+11,1.13E+11,1.09E+11,5.09E+17,304.9415567,0
9900,20451948258,82467390111,7.35E+11,1.95E+11,1.10E+11,1.21E+11,4.98E+17,305.1048535,0
10800,19997529016,76131798011,7.75E+11,1.93E+11,1.15E+11,1.55E+11,5.10E+17,304.9342438,0
11700,20816604835,75271618998,8.25E+11,80916350929,2.83E+11,3.72E+11,4.99E+17,304.8259931,0
12600,21541087706,76337844868,8.34E+11,34285697068,3.92E+11,6.28E+11,4.94E+17,305.0924677,0
13500,22252768823,77664781076,8.37E+11,25365547831,4.23E+11,7.49E+11,5.08E+17,304.9580789,0
14400,22962717414,79027000561,8.39E+11,27059393919,3.76E+11,5.58E+11,4.97E+17,304.8897411,0
15300,23672431532,80393995115,8.42E+11,46516757023,2.77E+11,2.58E+11,4.94E+17,305.1492529,0
16200,24382113918,81761635903,8.44E+11,77770509535,1.95E+11,1.54E+11,5.09E+17,304.8047314,0
17100,25091792009,83129364150,8.46E+11,1.11E+11,1.41E+11,1.25E+11,4.95E+17,304.8686329,0
18000,25801469520,84497104233,8.48E+11,1.41E+11,1.21E+11,1.18E+11,4.93E+17,305.1525589,0
18900,26511146951,85864845917,8.51E+11,1.61E+11,1.06E+11,1.15E+11,5.07E+17,304.7279859,0
19800,27220824372,87232587819,8.53E+11,1.74E+11,99303359009,1.10E+11,4.94E+17,304.8440103,0
20700,27930501792,88600329750,8.55E+11,1.94E+11,1.03E+11,1.15E+11,4.92E+17,305.1642577,0
21600,28640179211,89968071685,8.57E+11,2.04E+11,1.04E+11,1.18E+11,5.13E+17,305.0584138,0
22500,29349856631,91335813620,8.60E+11,2.12E+11,97349177730,1.09E+11,5.02E+17,305.1311407,2.33E-07
23400,30059534050,92703555556,8.62E+11,2.19E+11,1.09E+11,1.17E+11,4.96E+17,305.2479835,1.83E-05
24300,30769211470,94071297491,8.64E+11,2.29E+11,1.13E+11,1.31E+11,5.09E+17,304.9761851,4.50E-05
25200,31478888889,95439039427,8.66E+11,2.54E+11,1.02E+11,1.04E+11,4.94E+17,304.825807,7.28E-05
26100,32188566308,96806781362,8.69E+11,2.66E+11,1.08E+11,1.21E+11,4.59E+17,303.9950984,0.000100826
27000,32898243728,98174523297,8.71E+11,2.67E+11,1.03E+11,1.22E+11,4.16E+17,303.0121452,0.000128829
27900,33607921147,99542265233,8.73E+11,2.62E+11,96204111042,1.25E+11,3.95E+17,302.2872622,0.000156835
28800,34317598566,1.01E+11,8.75E+11,2.54E+11,96105577423,1.11E+11,3.73E+17,301.6452682,0.000184841
29700,35027275986,1.02E+11,8.78E+11,2.50E+11,1.00E+11,1.13E+11,3.59E+17,300.9333515,0.000212847
30600,35736953405,1.04E+11,8.80E+11,6.24E+11,6.30E+11,1.23E+11,3.62E+17,300.5312615,0.000240853
